[Alerta] PID 1 | CPU: 3.11 seg | Mem: 5528 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 16 | CPU: 5.95 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 14.09 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 24 | CPU: 1.66 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 6.49 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 5.51 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 41 | CPU: 3.62 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 20.29 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 68 | CPU: 105.78 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 197 | CPU: 2.34 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 237 | CPU: 5.69 seg | Mem: 32640 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 352 | CPU: 3.28 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 504 | CPU: 11.43 seg | Mem: 2432 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 505 | CPU: 1.49 seg | Mem: 3568 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 3.08 seg | Mem: 3584 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 656 | CPU: 4.00 seg | Mem: 7376 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 665 | CPU: 3.36 seg | Mem: 5388 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 672 | CPU: 1.41 seg | Mem: 2048 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 684 | CPU: 14.32 seg | Mem: 18524 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1086 | CPU: 16.58 seg | Mem: 724 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1305 | CPU: 2.15 seg | Mem: 4912 KB | IO R/W: 271083520/218984448 bytes | Razones: CPU IOR IOW 
[Alerta] PID 1314 | CPU: 5.81 seg | Mem: 9700 KB | IO R/W: 20373504/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1328 | CPU: 2.81 seg | Mem: 3584 KB | IO R/W: 3538944/0 bytes | Razones: CPU 
[Alerta] PID 1439 | CPU: 0.86 seg | Mem: 4480 KB | IO R/W: 19018752/4096 bytes | Razones: IOR 
[Alerta] PID 1471 | CPU: 2137.75 seg | Mem: 280492 KB | IO R/W: 1154836480/25681920 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 1536 | CPU: 0.38 seg | Mem: 256 KB | IO R/W: 17616896/0 bytes | Razones: IOR 
[Alerta] PID 1552 | CPU: 1.40 seg | Mem: 3072 KB | IO R/W: 2826240/0 bytes | Razones: CPU 
[Alerta] PID 1611 | CPU: 1.38 seg | Mem: 11784 KB | IO R/W: 8581120/0 bytes | Razones: CPU 
[Alerta] PID 1631 | CPU: 2.36 seg | Mem: 4528 KB | IO R/W: 4259840/8192 bytes | Razones: CPU 
[Alerta] PID 1637 | CPU: 1.06 seg | Mem: 9088 KB | IO R/W: 6664192/0 bytes | Razones: CPU 
[Alerta] PID 1697 | CPU: 2.29 seg | Mem: 4752 KB | IO R/W: 8220672/0 bytes | Razones: CPU 
[Alerta] PID 1726 | CPU: 1.09 seg | Mem: 4480 KB | IO R/W: 4382720/0 bytes | Razones: CPU 
[Alerta] PID 1792 | CPU: 10.28 seg | Mem: 5312 KB | IO R/W: 98095104/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1871 | CPU: 1.61 seg | Mem: 5632 KB | IO R/W: 10158080/0 bytes | Razones: CPU 
[Alerta] PID 1882 | CPU: 2.30 seg | Mem: 4628 KB | IO R/W: 6508544/237568 bytes | Razones: CPU 
[Alerta] PID 1903 | CPU: 1.61 seg | Mem: 6808 KB | IO R/W: 15597568/0 bytes | Razones: CPU IOR 
[Alerta] PID 2048 | CPU: 5.86 seg | Mem: 20764 KB | IO R/W: 24707072/0 bytes | Razones: CPU IOR 
[Alerta] PID 2127 | CPU: 2.47 seg | Mem: 4564 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 2532 | CPU: 9.61 seg | Mem: 38720 KB | IO R/W: 59748352/32768 bytes | Razones: CPU IOR 
[Alerta] PID 2578 | CPU: 0.11 seg | Mem: 512 KB | IO R/W: 70881280/0 bytes | Razones: IOR 
[Alerta] PID 2627 | CPU: 121.75 seg | Mem: 114504 KB | IO R/W: 410636288/106807296 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2633 | CPU: 0.07 seg | Mem: 2816 KB | IO R/W: 188715008/1150976 bytes | Razones: IOR 
[Alerta] PID 2656 | CPU: 116.29 seg | Mem: 28132 KB | IO R/W: 47841280/32768 bytes | Razones: CPU IOR 
[Alerta] PID 2683 | CPU: 1.43 seg | Mem: 5512 KB | IO R/W: 11358208/0 bytes | Razones: CPU IOR 
[Alerta] PID 2936 | CPU: 278.03 seg | Mem: 59492 KB | IO R/W: 148889600/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2940 | CPU: 5.53 seg | Mem: 22256 KB | IO R/W: 46833664/237568 bytes | Razones: CPU IOR 
[Alerta] PID 2964 | CPU: 502.75 seg | Mem: 374152 KB | IO R/W: 476045312/135168 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2983 | CPU: 238.76 seg | Mem: 310896 KB | IO R/W: 813838336/21663744 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2993 | CPU: 16.86 seg | Mem: 45944 KB | IO R/W: 105394176/8192 bytes | Razones: CPU IOR 
[Alerta] PID 3001 | CPU: 9.03 seg | Mem: 32236 KB | IO R/W: 57405440/0 bytes | Razones: CPU IOR 
[Alerta] PID 3119 | CPU: 36.22 seg | Mem: 46296 KB | IO R/W: 323777536/1531904 bytes | Razones: CPU IOR 
[Alerta] PID 3136 | CPU: 274.22 seg | Mem: 293460 KB | IO R/W: 1171966976/473657344 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 3334 | CPU: 50.96 seg | Mem: 42220 KB | IO R/W: 283897856/31293440 bytes | Razones: CPU IOR IOW 
[Alerta] PID 3436 | CPU: 7.11 seg | Mem: 58976 KB | IO R/W: 74360832/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 3546 | CPU: 2.77 seg | Mem: 8192 KB | IO R/W: 12172288/0 bytes | Razones: CPU IOR 
[Alerta] PID 3621 | CPU: 1.03 seg | Mem: 3972 KB | IO R/W: 16953344/6340608 bytes | Razones: CPU IOR 
[Alerta] PID 3634 | CPU: 4.77 seg | Mem: 28552 KB | IO R/W: 40960000/0 bytes | Razones: CPU IOR 
[Alerta] PID 3735 | CPU: 6.47 seg | Mem: 33596 KB | IO R/W: 30119936/0 bytes | Razones: CPU IOR 
[Alerta] PID 3914 | CPU: 0.32 seg | Mem: 8192 KB | IO R/W: 15012864/0 bytes | Razones: IOR 
[Alerta] PID 4303 | CPU: 244.91 seg | Mem: 207132 KB | IO R/W: 258363392/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 4338 | CPU: 241.95 seg | Mem: 181008 KB | IO R/W: 233347072/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 4900 | CPU: 1.54 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 4992 | CPU: 219.83 seg | Mem: 214296 KB | IO R/W: 230985728/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 5582 | CPU: 1.16 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 6756 | CPU: 26.37 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 7178 | CPU: 4.25 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 7591 | CPU: 7.27 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 7616 | CPU: 1.06 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 7797 | CPU: 2.24 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 8385 | CPU: 1.75 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 8428 | CPU: 23.62 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 8435 | CPU: 2.89 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 8499 | CPU: 7.39 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 8518 | CPU: 2.13 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 8586 | CPU: 1.24 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 9454 | CPU: 1.13 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 9742 | CPU: 0.27 seg | Mem: 6784 KB | IO R/W: 31354880/860160 bytes | Razones: IOR 
[Alerta] PID 10008 | CPU: 0.61 seg | Mem: 252992 KB | IO R/W: 6263808/0 bytes | Razones: MEM 
[Alerta] PID 11467 | CPU: 0.44 seg | Mem: 69816 KB | IO R/W: 0/0 bytes | Razones: MEM 
