[Alerta] PID 1 | CPU: 2.49 seg | Mem: 8372 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 4.54 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 26 | CPU: 8.50 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 3.27 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 7.39 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 38 | CPU: 1.57 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 41 | CPU: 1.67 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 45 | CPU: 2.56 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 3.28 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 67 | CPU: 34.22 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 84 | CPU: 3.00 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 177 | CPU: 1.07 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 197 | CPU: 2.83 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 238 | CPU: 4.36 seg | Mem: 39428 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 480 | CPU: 2.37 seg | Mem: 4608 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 1.95 seg | Mem: 5760 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 656 | CPU: 1.34 seg | Mem: 12616 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 664 | CPU: 2.11 seg | Mem: 10940 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 674 | CPU: 9.79 seg | Mem: 28180 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1089 | CPU: 45.18 seg | Mem: 41304 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1312 | CPU: 1.14 seg | Mem: 6880 KB | IO R/W: 83795968/688128 bytes | Razones: CPU IOR 
[Alerta] PID 1321 | CPU: 2.07 seg | Mem: 17436 KB | IO R/W: 9265152/8192 bytes | Razones: CPU 
[Alerta] PID 1322 | CPU: 0.86 seg | Mem: 4224 KB | IO R/W: 17971200/0 bytes | Razones: IOR 
[Alerta] PID 1336 | CPU: 1.64 seg | Mem: 5372 KB | IO R/W: 1146880/0 bytes | Razones: CPU 
[Alerta] PID 1434 | CPU: 0.20 seg | Mem: 7424 KB | IO R/W: 12804096/0 bytes | Razones: IOR 
[Alerta] PID 1444 | CPU: 0.57 seg | Mem: 11392 KB | IO R/W: 18809856/4096 bytes | Razones: IOR 
[Alerta] PID 1471 | CPU: 624.54 seg | Mem: 293456 KB | IO R/W: 163631104/20480 bytes | Razones: CPU MEM IOR 
[Alerta] PID 1521 | CPU: 0.38 seg | Mem: 6292 KB | IO R/W: 12597248/0 bytes | Razones: IOR 
[Alerta] PID 1540 | CPU: 0.23 seg | Mem: 12160 KB | IO R/W: 17084416/0 bytes | Razones: IOR 
[Alerta] PID 1613 | CPU: 11.24 seg | Mem: 60316 KB | IO R/W: 44306432/114688 bytes | Razones: CPU MEM IOR 
[Alerta] PID 1641 | CPU: 1.31 seg | Mem: 7920 KB | IO R/W: 2134016/8192 bytes | Razones: CPU 
[Alerta] PID 1697 | CPU: 1.45 seg | Mem: 11348 KB | IO R/W: 2486272/0 bytes | Razones: CPU 
[Alerta] PID 1799 | CPU: 7.23 seg | Mem: 80616 KB | IO R/W: 75031552/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 1869 | CPU: 1.29 seg | Mem: 18076 KB | IO R/W: 9707520/237568 bytes | Razones: CPU 
[Alerta] PID 1874 | CPU: 1.03 seg | Mem: 12304 KB | IO R/W: 11821056/0 bytes | Razones: CPU IOR 
[Alerta] PID 1943 | CPU: 3.38 seg | Mem: 41500 KB | IO R/W: 16969728/0 bytes | Razones: CPU IOR 
[Alerta] PID 2043 | CPU: 1.37 seg | Mem: 19620 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 2209 | CPU: 0.68 seg | Mem: 32804 KB | IO R/W: 14196736/0 bytes | Razones: IOR 
[Alerta] PID 2227 | CPU: 0.02 seg | Mem: 2688 KB | IO R/W: 70815744/0 bytes | Razones: IOR 
[Alerta] PID 2338 | CPU: 34.77 seg | Mem: 120352 KB | IO R/W: 144408576/10588160 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2398 | CPU: 74.39 seg | Mem: 29384 KB | IO R/W: 5128192/32768 bytes | Razones: CPU 
[Alerta] PID 2447 | CPU: 100.53 seg | Mem: 92492 KB | IO R/W: 52690944/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2451 | CPU: 2.36 seg | Mem: 28280 KB | IO R/W: 13746176/172032 bytes | Razones: CPU IOR 
[Alerta] PID 2474 | CPU: 198.15 seg | Mem: 320240 KB | IO R/W: 172572672/126976 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2482 | CPU: 76.07 seg | Mem: 263968 KB | IO R/W: 519407616/190181376 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2603 | CPU: 144.03 seg | Mem: 306280 KB | IO R/W: 395685888/78843904 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2620 | CPU: 8.82 seg | Mem: 44164 KB | IO R/W: 40665088/8192 bytes | Razones: CPU IOR 
[Alerta] PID 2621 | CPU: 4.65 seg | Mem: 32308 KB | IO R/W: 8810496/0 bytes | Razones: CPU 
[Alerta] PID 2743 | CPU: 3.01 seg | Mem: 70152 KB | IO R/W: 49653760/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2745 | CPU: 14.91 seg | Mem: 45520 KB | IO R/W: 85372928/679936 bytes | Razones: CPU IOR 
[Alerta] PID 2804 | CPU: 237.38 seg | Mem: 268356 KB | IO R/W: 266742784/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2832 | CPU: 1.47 seg | Mem: 8320 KB | IO R/W: 9789440/0 bytes | Razones: CPU 
[Alerta] PID 2999 | CPU: 3.49 seg | Mem: 29016 KB | IO R/W: 16384000/0 bytes | Razones: CPU IOR 
[Alerta] PID 3088 | CPU: 1.04 seg | Mem: 20240 KB | IO R/W: 4108288/0 bytes | Razones: CPU 
[Alerta] PID 3199 | CPU: 25.08 seg | Mem: 45488 KB | IO R/W: 101670912/12288000 bytes | Razones: CPU IOR IOW 
[Alerta] PID 3528 | CPU: 1.29 seg | Mem: 26244 KB | IO R/W: 330473472/25747456 bytes | Razones: CPU IOR IOW 
[Alerta] PID 4913 | CPU: 0.84 seg | Mem: 37684 KB | IO R/W: 32661504/24576 bytes | Razones: IOR 
[Alerta] PID 4940 | CPU: 12.13 seg | Mem: 75992 KB | IO R/W: 55828480/200704 bytes | Razones: CPU MEM IOR 
[Alerta] PID 7056 | CPU: 1.08 seg | Mem: 69388 KB | IO R/W: 0/40960 bytes | Razones: CPU MEM 
[Alerta] PID 7385 | CPU: 1.92 seg | Mem: 73636 KB | IO R/W: 0/0 bytes | Razones: CPU MEM 
