[Alerta] PID 1 | CPU: 3.35 seg | Mem: 3608 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 16 | CPU: 8.52 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 18.07 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 24 | CPU: 2.14 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 10.60 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 6.85 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 41 | CPU: 5.90 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 23.00 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 68 | CPU: 170.99 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 197 | CPU: 4.86 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 237 | CPU: 7.10 seg | Mem: 13824 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 504 | CPU: 14.46 seg | Mem: 2176 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 505 | CPU: 2.08 seg | Mem: 2416 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 3.45 seg | Mem: 3328 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 656 | CPU: 4.47 seg | Mem: 2640 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 665 | CPU: 3.62 seg | Mem: 3084 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 672 | CPU: 1.74 seg | Mem: 2048 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 684 | CPU: 16.93 seg | Mem: 10076 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1086 | CPU: 16.60 seg | Mem: 852 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1305 | CPU: 2.26 seg | Mem: 2864 KB | IO R/W: 940564480/323715072 bytes | Razones: CPU IOR IOW 
[Alerta] PID 1314 | CPU: 5.84 seg | Mem: 996 KB | IO R/W: 22142976/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1328 | CPU: 3.10 seg | Mem: 2432 KB | IO R/W: 6201344/0 bytes | Razones: CPU 
[Alerta] PID 1439 | CPU: 0.86 seg | Mem: 384 KB | IO R/W: 19018752/4096 bytes | Razones: IOR 
[Alerta] PID 1471 | CPU: 2576.59 seg | Mem: 90080 KB | IO R/W: 1437120512/25690112 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 1536 | CPU: 0.38 seg | Mem: 256 KB | IO R/W: 17616896/0 bytes | Razones: IOR 
[Alerta] PID 1552 | CPU: 1.57 seg | Mem: 384 KB | IO R/W: 4075520/0 bytes | Razones: CPU 
[Alerta] PID 1611 | CPU: 1.38 seg | Mem: 520 KB | IO R/W: 8581120/0 bytes | Razones: CPU 
[Alerta] PID 1631 | CPU: 2.36 seg | Mem: 688 KB | IO R/W: 4259840/8192 bytes | Razones: CPU 
[Alerta] PID 1637 | CPU: 1.38 seg | Mem: 4608 KB | IO R/W: 8019968/0 bytes | Razones: CPU 
[Alerta] PID 1640 | CPU: 1.01 seg | Mem: 3864 KB | IO R/W: 5419008/0 bytes | Razones: CPU 
[Alerta] PID 1697 | CPU: 2.29 seg | Mem: 912 KB | IO R/W: 8273920/0 bytes | Razones: CPU 
[Alerta] PID 1726 | CPU: 1.24 seg | Mem: 1408 KB | IO R/W: 5332992/0 bytes | Razones: CPU 
[Alerta] PID 1792 | CPU: 10.98 seg | Mem: 5824 KB | IO R/W: 107426816/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1871 | CPU: 1.76 seg | Mem: 2304 KB | IO R/W: 12382208/0 bytes | Razones: CPU IOR 
[Alerta] PID 1882 | CPU: 2.44 seg | Mem: 4244 KB | IO R/W: 8130560/237568 bytes | Razones: CPU 
[Alerta] PID 1903 | CPU: 1.74 seg | Mem: 1816 KB | IO R/W: 18530304/0 bytes | Razones: CPU IOR 
[Alerta] PID 2048 | CPU: 7.30 seg | Mem: 15388 KB | IO R/W: 47423488/0 bytes | Razones: CPU IOR 
[Alerta] PID 2053 | CPU: 1.02 seg | Mem: 1028 KB | IO R/W: 5398528/0 bytes | Razones: CPU 
[Alerta] PID 2127 | CPU: 2.85 seg | Mem: 4564 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 2532 | CPU: 10.12 seg | Mem: 9920 KB | IO R/W: 78581760/32768 bytes | Razones: CPU IOR 
[Alerta] PID 2578 | CPU: 0.11 seg | Mem: 512 KB | IO R/W: 70881280/0 bytes | Razones: IOR 
[Alerta] PID 2627 | CPU: 159.82 seg | Mem: 60348 KB | IO R/W: 1621057536/227725312 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2633 | CPU: 0.16 seg | Mem: 4480 KB | IO R/W: 225177600/1150976 bytes | Razones: IOR 
[Alerta] PID 2656 | CPU: 144.39 seg | Mem: 17132 KB | IO R/W: 65990656/32768 bytes | Razones: CPU IOR 
[Alerta] PID 2683 | CPU: 1.69 seg | Mem: 2952 KB | IO R/W: 11661312/0 bytes | Razones: CPU IOR 
[Alerta] PID 2846 | CPU: 1.01 seg | Mem: 2648 KB | IO R/W: 2052096/0 bytes | Razones: CPU 
