[Alerta] PID 1 | CPU: 3.28 seg | Mem: 3608 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 16 | CPU: 7.75 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 17.46 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 24 | CPU: 1.99 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 9.30 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 6.62 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 41 | CPU: 5.89 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 22.67 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 68 | CPU: 154.98 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 197 | CPU: 3.95 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 237 | CPU: 6.54 seg | Mem: 22272 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 504 | CPU: 14.17 seg | Mem: 2560 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 505 | CPU: 2.03 seg | Mem: 3824 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 3.32 seg | Mem: 3328 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 656 | CPU: 4.41 seg | Mem: 7632 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 665 | CPU: 3.40 seg | Mem: 3084 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 672 | CPU: 1.62 seg | Mem: 1536 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 684 | CPU: 16.17 seg | Mem: 17372 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1086 | CPU: 16.60 seg | Mem: 980 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1305 | CPU: 2.20 seg | Mem: 3120 KB | IO R/W: 742465536/316956672 bytes | Razones: CPU IOR IOW 
[Alerta] PID 1314 | CPU: 5.84 seg | Mem: 3940 KB | IO R/W: 22142976/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1328 | CPU: 3.06 seg | Mem: 2944 KB | IO R/W: 5332992/0 bytes | Razones: CPU 
[Alerta] PID 1439 | CPU: 0.86 seg | Mem: 384 KB | IO R/W: 19018752/4096 bytes | Razones: IOR 
[Alerta] PID 1471 | CPU: 2562.29 seg | Mem: 195736 KB | IO R/W: 1361115136/25690112 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 1536 | CPU: 0.38 seg | Mem: 256 KB | IO R/W: 17616896/0 bytes | Razones: IOR 
[Alerta] PID 1552 | CPU: 1.55 seg | Mem: 384 KB | IO R/W: 3674112/0 bytes | Razones: CPU 
[Alerta] PID 1611 | CPU: 1.38 seg | Mem: 520 KB | IO R/W: 8581120/0 bytes | Razones: CPU 
[Alerta] PID 1631 | CPU: 2.36 seg | Mem: 816 KB | IO R/W: 4259840/8192 bytes | Razones: CPU 
