[Alerta] PID 1 | CPU: 3.90 seg | Mem: 3608 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 16 | CPU: 9.56 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 18.90 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 24 | CPU: 2.35 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 12.75 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 7.27 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 41 | CPU: 5.90 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 23.12 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 68 | CPU: 195.48 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 197 | CPU: 5.87 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 237 | CPU: 9.08 seg | Mem: 23296 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 504 | CPU: 16.82 seg | Mem: 2560 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 505 | CPU: 2.18 seg | Mem: 496 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 649 | CPU: 1.03 seg | Mem: 1344 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 3.58 seg | Mem: 2944 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 656 | CPU: 4.70 seg | Mem: 2000 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 665 | CPU: 3.62 seg | Mem: 268 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 672 | CPU: 2.81 seg | Mem: 1536 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 684 | CPU: 23.77 seg | Mem: 14300 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1079 | CPU: 2.62 seg | Mem: 3968 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1086 | CPU: 16.62 seg | Mem: 980 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1305 | CPU: 2.56 seg | Mem: 3120 KB | IO R/W: 1257861120/325230592 bytes | Razones: CPU IOR IOW 
[Alerta] PID 1314 | CPU: 6.29 seg | Mem: 1892 KB | IO R/W: 35536896/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1328 | CPU: 3.19 seg | Mem: 2816 KB | IO R/W: 7704576/0 bytes | Razones: CPU 
[Alerta] PID 1439 | CPU: 0.86 seg | Mem: 384 KB | IO R/W: 19018752/4096 bytes | Razones: IOR 
[Alerta] PID 1471 | CPU: 2616.23 seg | Mem: 125284 KB | IO R/W: 1806870528/25690112 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 1536 | CPU: 0.38 seg | Mem: 256 KB | IO R/W: 17616896/0 bytes | Razones: IOR 
[Alerta] PID 1552 | CPU: 1.64 seg | Mem: 128 KB | IO R/W: 6934528/0 bytes | Razones: CPU 
[Alerta] PID 1611 | CPU: 1.38 seg | Mem: 520 KB | IO R/W: 8581120/0 bytes | Razones: CPU 
[Alerta] PID 1631 | CPU: 2.36 seg | Mem: 432 KB | IO R/W: 4259840/8192 bytes | Razones: CPU 
[Alerta] PID 1637 | CPU: 1.44 seg | Mem: 4864 KB | IO R/W: 9084928/0 bytes | Razones: CPU 
[Alerta] PID 1640 | CPU: 1.10 seg | Mem: 4120 KB | IO R/W: 6529024/0 bytes | Razones: CPU 
[Alerta] PID 1697 | CPU: 2.29 seg | Mem: 528 KB | IO R/W: 8273920/0 bytes | Razones: CPU 
[Alerta] PID 1726 | CPU: 1.39 seg | Mem: 512 KB | IO R/W: 5771264/0 bytes | Razones: CPU 
[Alerta] PID 1792 | CPU: 12.74 seg | Mem: 5184 KB | IO R/W: 130040832/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1871 | CPU: 1.96 seg | Mem: 2048 KB | IO R/W: 18141184/0 bytes | Razones: CPU IOR 
[Alerta] PID 1882 | CPU: 2.46 seg | Mem: 3732 KB | IO R/W: 8826880/237568 bytes | Razones: CPU 
[Alerta] PID 1903 | CPU: 1.87 seg | Mem: 3736 KB | IO R/W: 21704704/0 bytes | Razones: CPU IOR 
[Alerta] PID 2048 | CPU: 7.77 seg | Mem: 3228 KB | IO R/W: 53207040/0 bytes | Razones: CPU IOR 
[Alerta] PID 2053 | CPU: 1.18 seg | Mem: 3460 KB | IO R/W: 7266304/0 bytes | Razones: CPU 
[Alerta] PID 2127 | CPU: 3.09 seg | Mem: 4436 KB | IO R/W: 0/0 bytes | Razones: CPU 
