[Alerta] PID 1 | CPU: 3.07 seg | Mem: 6864 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 14.15 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 6.05 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 5.44 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 46 | CPU: 2.37 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 4.53 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 68 | CPU: 44.08 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 195 | CPU: 7.84 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 235 | CPU: 16.38 seg | Mem: 92928 KB | IO R/W: 0/0 bytes | Razones: CPU MEM 
[Alerta] PID 266 | CPU: 1.13 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 536 | CPU: 7.31 seg | Mem: 1920 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 538 | CPU: 1.97 seg | Mem: 5056 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 553 | CPU: 3.66 seg | Mem: 1156 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 652 | CPU: 2.43 seg | Mem: 3584 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 2.15 seg | Mem: 10672 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 663 | CPU: 2.45 seg | Mem: 5492 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 677 | CPU: 8.39 seg | Mem: 15516 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 686 | CPU: 1.54 seg | Mem: 6972 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1082 | CPU: 12.40 seg | Mem: 5068 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1302 | CPU: 1.19 seg | Mem: 4596 KB | IO R/W: 520848384/996925440 bytes | Razones: CPU IOR IOW 
[Alerta] PID 1311 | CPU: 3.29 seg | Mem: 10108 KB | IO R/W: 9846784/8192 bytes | Razones: CPU 
[Alerta] PID 1332 | CPU: 2.88 seg | Mem: 3456 KB | IO R/W: 1691648/0 bytes | Razones: CPU 
[Alerta] PID 1425 | CPU: 0.24 seg | Mem: 4224 KB | IO R/W: 12447744/0 bytes | Razones: IOR 
[Alerta] PID 1435 | CPU: 0.38 seg | Mem: 4992 KB | IO R/W: 12420096/4096 bytes | Razones: IOR 
[Alerta] PID 1470 | CPU: 2644.55 seg | Mem: 268756 KB | IO R/W: 185249792/53248 bytes | Razones: CPU MEM IOR 
[Alerta] PID 1537 | CPU: 0.31 seg | Mem: 5504 KB | IO R/W: 18227200/0 bytes | Razones: IOR 
[Alerta] PID 1627 | CPU: 5.16 seg | Mem: 4992 KB | IO R/W: 2904064/8192 bytes | Razones: CPU 
[Alerta] PID 1700 | CPU: 2.16 seg | Mem: 8728 KB | IO R/W: 6459392/0 bytes | Razones: CPU 
[Alerta] PID 1780 | CPU: 4.19 seg | Mem: 7136 KB | IO R/W: 42815488/0 bytes | Razones: CPU IOR 
[Alerta] PID 1804 | CPU: 1.21 seg | Mem: 4096 KB | IO R/W: 585728/0 bytes | Razones: CPU 
[Alerta] PID 1849 | CPU: 1.98 seg | Mem: 12084 KB | IO R/W: 11751424/237568 bytes | Razones: CPU IOR 
[Alerta] PID 1862 | CPU: 1.23 seg | Mem: 7916 KB | IO R/W: 12926976/0 bytes | Razones: CPU IOR 
[Alerta] PID 1999 | CPU: 4.90 seg | Mem: 37120 KB | IO R/W: 18345984/0 bytes | Razones: CPU IOR 
[Alerta] PID 2064 | CPU: 275.65 seg | Mem: 320308 KB | IO R/W: 614456320/405319680 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2123 | CPU: 2.10 seg | Mem: 13604 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 2390 | CPU: 5.67 seg | Mem: 77536 KB | IO R/W: 40041472/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2669 | CPU: 124.76 seg | Mem: 218976 KB | IO R/W: 173107200/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2763 | CPU: 2.12 seg | Mem: 7884 KB | IO R/W: 10141696/0 bytes | Razones: CPU 
[Alerta] PID 2924 | CPU: 3.23 seg | Mem: 28968 KB | IO R/W: 12307456/0 bytes | Razones: CPU IOR 
[Alerta] PID 3055 | CPU: 25.09 seg | Mem: 59024 KB | IO R/W: 41975808/294912 bytes | Razones: CPU MEM IOR 
[Alerta] PID 3070 | CPU: 12.57 seg | Mem: 414568 KB | IO R/W: 30505984/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 3336 | CPU: 0.04 seg | Mem: 1152 KB | IO R/W: 70885376/0 bytes | Razones: IOR 
[Alerta] PID 3462 | CPU: 115.96 seg | Mem: 112528 KB | IO R/W: 146137088/29614080 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 3493 | CPU: 125.25 seg | Mem: 20600 KB | IO R/W: 3555328/32768 bytes | Razones: CPU 
[Alerta] PID 3520 | CPU: 1.03 seg | Mem: 7312 KB | IO R/W: 9756672/0 bytes | Razones: CPU 
[Alerta] PID 3630 | CPU: 349.59 seg | Mem: 140872 KB | IO R/W: 52551680/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 3634 | CPU: 6.22 seg | Mem: 26384 KB | IO R/W: 16760832/225280 bytes | Razones: CPU IOR 
[Alerta] PID 3659 | CPU: 826.96 seg | Mem: 428904 KB | IO R/W: 218177536/126976 bytes | Razones: CPU MEM IOR 
[Alerta] PID 3688 | CPU: 12.20 seg | Mem: 46576 KB | IO R/W: 67137536/8192 bytes | Razones: CPU IOR 
[Alerta] PID 3689 | CPU: 7.47 seg | Mem: 34472 KB | IO R/W: 11157504/0 bytes | Razones: CPU IOR 
[Alerta] PID 3690 | CPU: 341.19 seg | Mem: 379812 KB | IO R/W: 419721216/520761344 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 3781 | CPU: 35.66 seg | Mem: 50168 KB | IO R/W: 108830720/3100672 bytes | Razones: CPU IOR 
[Alerta] PID 3856 | CPU: 85.62 seg | Mem: 33312 KB | IO R/W: 142536704/47513600 bytes | Razones: CPU IOR IOW 
[Alerta] PID 3914 | CPU: 1.64 seg | Mem: 21012 KB | IO R/W: 7794688/0 bytes | Razones: CPU 
