[Alerta] PID 1 | CPU: 1.01 seg | Mem: 12928 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 355 | CPU: 7.45 seg | Mem: 112096 KB | IO R/W: 61423616/1523712 bytes | Razones: CPU MEM IOR 
[Alerta] PID 417 | CPU: 0.70 seg | Mem: 57024 KB | IO R/W: 0/0 bytes | Razones: MEM 
[Alerta] PID 425 | CPU: 2.55 seg | Mem: 80804 KB | IO R/W: 1011712/4096 bytes | Razones: CPU MEM 
[Alerta] PID 428 | CPU: 0.92 seg | Mem: 51628 KB | IO R/W: 0/0 bytes | Razones: MEM 
[Alerta] PID 457 | CPU: 0.41 seg | Mem: 62584 KB | IO R/W: 1814528/0 bytes | Razones: MEM 
[Alerta] PID 508 | CPU: 33.02 seg | Mem: 156656 KB | IO R/W: 29097984/24576 bytes | Razones: CPU MEM IOR 
[Alerta] PID 581 | CPU: 0.04 seg | Mem: 5500 KB | IO R/W: 180797440/98304 bytes | Razones: IOR 
[Alerta] PID 612 | CPU: 0.25 seg | Mem: 53008 KB | IO R/W: 45056/0 bytes | Razones: MEM 
