[Alerta] PID 1 | CPU: 2.16 seg | Mem: 8372 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 10 | CPU: 6.99 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 2.27 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 26 | CPU: 7.58 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 3.14 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 32 | CPU: 4.30 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 5.32 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 38 | CPU: 1.57 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 41 | CPU: 1.14 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 42 | CPU: 1.55 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 45 | CPU: 2.46 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 3.20 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 67 | CPU: 34.22 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 84 | CPU: 1.54 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 86 | CPU: 7.29 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 197 | CPU: 2.36 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 238 | CPU: 2.24 seg | Mem: 18052 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 262 | CPU: 1.01 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 1.80 seg | Mem: 5760 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 656 | CPU: 1.09 seg | Mem: 12616 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 664 | CPU: 1.96 seg | Mem: 10812 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 674 | CPU: 9.39 seg | Mem: 28952 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1089 | CPU: 45.10 seg | Mem: 41304 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1312 | CPU: 1.00 seg | Mem: 6880 KB | IO R/W: 16248832/0 bytes | Razones: IOR 
[Alerta] PID 1321 | CPU: 1.30 seg | Mem: 16324 KB | IO R/W: 8683520/8192 bytes | Razones: CPU 
[Alerta] PID 1322 | CPU: 0.86 seg | Mem: 4224 KB | IO R/W: 17971200/0 bytes | Razones: IOR 
[Alerta] PID 1336 | CPU: 1.16 seg | Mem: 5372 KB | IO R/W: 1097728/0 bytes | Razones: CPU 
[Alerta] PID 1444 | CPU: 0.52 seg | Mem: 11392 KB | IO R/W: 18801664/4096 bytes | Razones: IOR 
[Alerta] PID 1471 | CPU: 207.69 seg | Mem: 244988 KB | IO R/W: 148434944/12288 bytes | Razones: CPU MEM IOR 
[Alerta] PID 1521 | CPU: 0.38 seg | Mem: 6292 KB | IO R/W: 12597248/0 bytes | Razones: IOR 
[Alerta] PID 1540 | CPU: 0.23 seg | Mem: 12160 KB | IO R/W: 17084416/0 bytes | Razones: IOR 
[Alerta] PID 1613 | CPU: 5.76 seg | Mem: 55068 KB | IO R/W: 39641088/32768 bytes | Razones: CPU MEM IOR 
[Alerta] PID 1697 | CPU: 1.31 seg | Mem: 11348 KB | IO R/W: 2465792/0 bytes | Razones: CPU 
[Alerta] PID 1799 | CPU: 7.10 seg | Mem: 80616 KB | IO R/W: 75031552/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 1874 | CPU: 0.86 seg | Mem: 12176 KB | IO R/W: 11128832/0 bytes | Razones: IOR 
[Alerta] PID 1942 | CPU: 3.11 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1943 | CPU: 2.42 seg | Mem: 40988 KB | IO R/W: 16773120/0 bytes | Razones: CPU IOR 
[Alerta] PID 2227 | CPU: 0.02 seg | Mem: 2688 KB | IO R/W: 70815744/0 bytes | Razones: IOR 
[Alerta] PID 2338 | CPU: 17.31 seg | Mem: 91628 KB | IO R/W: 138395648/4009984 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2398 | CPU: 32.25 seg | Mem: 23300 KB | IO R/W: 4894720/32768 bytes | Razones: CPU 
[Alerta] PID 2447 | CPU: 17.86 seg | Mem: 69148 KB | IO R/W: 51896320/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2451 | CPU: 1.89 seg | Mem: 27796 KB | IO R/W: 13549568/151552 bytes | Razones: CPU IOR 
[Alerta] PID 2474 | CPU: 67.05 seg | Mem: 257228 KB | IO R/W: 169242624/126976 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2482 | CPU: 55.49 seg | Mem: 218724 KB | IO R/W: 480491520/156569600 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2603 | CPU: 98.10 seg | Mem: 245244 KB | IO R/W: 390754304/72413184 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2620 | CPU: 8.06 seg | Mem: 42888 KB | IO R/W: 40566784/8192 bytes | Razones: CPU IOR 
[Alerta] PID 2621 | CPU: 2.97 seg | Mem: 27944 KB | IO R/W: 5177344/0 bytes | Razones: CPU 
[Alerta] PID 2743 | CPU: 1.62 seg | Mem: 67504 KB | IO R/W: 49387520/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2745 | CPU: 6.07 seg | Mem: 34172 KB | IO R/W: 14729216/0 bytes | Razones: CPU IOR 
[Alerta] PID 2804 | CPU: 235.95 seg | Mem: 354196 KB | IO R/W: 263709696/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2832 | CPU: 1.41 seg | Mem: 8320 KB | IO R/W: 9785344/0 bytes | Razones: CPU 
[Alerta] PID 2900 | CPU: 0.17 seg | Mem: 4096 KB | IO R/W: 33132544/270336 bytes | Razones: IOR 
