[Alerta] PID 1 | CPU: 3.90 seg | Mem: 3608 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 16 | CPU: 9.59 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 18.93 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 24 | CPU: 2.36 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 12.82 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 7.30 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 41 | CPU: 5.90 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 23.12 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 68 | CPU: 195.48 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 197 | CPU: 5.87 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 237 | CPU: 9.08 seg | Mem: 23296 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 504 | CPU: 16.82 seg | Mem: 2560 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 505 | CPU: 2.20 seg | Mem: 2800 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 649 | CPU: 1.03 seg | Mem: 1344 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 3.59 seg | Mem: 2944 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 656 | CPU: 4.70 seg | Mem: 2000 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 665 | CPU: 3.62 seg | Mem: 268 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 672 | CPU: 2.81 seg | Mem: 1536 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 684 | CPU: 23.77 seg | Mem: 14300 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1079 | CPU: 2.62 seg | Mem: 3968 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1086 | CPU: 16.62 seg | Mem: 980 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1305 | CPU: 2.56 seg | Mem: 3120 KB | IO R/W: 1257861120/325230592 bytes | Razones: CPU IOR IOW 
[Alerta] PID 1314 | CPU: 6.68 seg | Mem: 9316 KB | IO R/W: 45559808/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1328 | CPU: 3.22 seg | Mem: 2816 KB | IO R/W: 7708672/0 bytes | Razones: CPU 
[Alerta] PID 1439 | CPU: 0.86 seg | Mem: 384 KB | IO R/W: 19018752/4096 bytes | Razones: IOR 
[Alerta] PID 1471 | CPU: 2620.14 seg | Mem: 139708 KB | IO R/W: 1819711488/25690112 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 1536 | CPU: 0.38 seg | Mem: 256 KB | IO R/W: 17616896/0 bytes | Razones: IOR 
[Alerta] PID 1552 | CPU: 1.64 seg | Mem: 128 KB | IO R/W: 6934528/0 bytes | Razones: CPU 
[Alerta] PID 1611 | CPU: 1.38 seg | Mem: 520 KB | IO R/W: 8581120/0 bytes | Razones: CPU 
[Alerta] PID 1631 | CPU: 2.36 seg | Mem: 432 KB | IO R/W: 4259840/8192 bytes | Razones: CPU 
[Alerta] PID 1637 | CPU: 1.46 seg | Mem: 6016 KB | IO R/W: 9359360/0 bytes | Razones: CPU 
[Alerta] PID 1640 | CPU: 1.10 seg | Mem: 4120 KB | IO R/W: 6529024/0 bytes | Razones: CPU 
[Alerta] PID 1697 | CPU: 2.29 seg | Mem: 528 KB | IO R/W: 8273920/0 bytes | Razones: CPU 
[Alerta] PID 1726 | CPU: 1.39 seg | Mem: 512 KB | IO R/W: 5771264/0 bytes | Razones: CPU 
[Alerta] PID 1792 | CPU: 12.74 seg | Mem: 5440 KB | IO R/W: 130343936/8192 bytes | Razones: CPU IOR 
[Alerta] PID 1871 | CPU: 1.97 seg | Mem: 4096 KB | IO R/W: 18534400/0 bytes | Razones: CPU IOR 
[Alerta] PID 1882 | CPU: 2.47 seg | Mem: 4244 KB | IO R/W: 9199616/237568 bytes | Razones: CPU 
[Alerta] PID 1903 | CPU: 1.93 seg | Mem: 4120 KB | IO R/W: 22245376/0 bytes | Razones: CPU IOR 
[Alerta] PID 2048 | CPU: 8.01 seg | Mem: 15516 KB | IO R/W: 56143872/0 bytes | Razones: CPU IOR 
[Alerta] PID 2053 | CPU: 1.19 seg | Mem: 4228 KB | IO R/W: 8081408/0 bytes | Razones: CPU 
[Alerta] PID 2127 | CPU: 3.09 seg | Mem: 4436 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 2532 | CPU: 10.15 seg | Mem: 3904 KB | IO R/W: 79900672/32768 bytes | Razones: CPU IOR 
[Alerta] PID 2578 | CPU: 0.11 seg | Mem: 512 KB | IO R/W: 70881280/0 bytes | Razones: IOR 
[Alerta] PID 2627 | CPU: 170.19 seg | Mem: 93628 KB | IO R/W: 2405941248/297201664 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 2633 | CPU: 0.17 seg | Mem: 2816 KB | IO R/W: 471629824/1150976 bytes | Razones: IOR 
[Alerta] PID 2656 | CPU: 146.75 seg | Mem: 20404 KB | IO R/W: 78573568/32768 bytes | Razones: CPU IOR 
[Alerta] PID 2683 | CPU: 1.75 seg | Mem: 3464 KB | IO R/W: 12062720/0 bytes | Razones: CPU IOR 
[Alerta] PID 2846 | CPU: 1.04 seg | Mem: 2904 KB | IO R/W: 2383872/0 bytes | Razones: CPU 
[Alerta] PID 2936 | CPU: 377.95 seg | Mem: 47812 KB | IO R/W: 332046336/0 bytes | Razones: CPU IOR 
[Alerta] PID 2940 | CPU: 8.17 seg | Mem: 21672 KB | IO R/W: 92905472/282624 bytes | Razones: CPU IOR 
[Alerta] PID 2964 | CPU: 802.36 seg | Mem: 286040 KB | IO R/W: 1232560128/135168 bytes | Razones: CPU MEM IOR 
[Alerta] PID 2993 | CPU: 22.15 seg | Mem: 45144 KB | IO R/W: 172036096/8192 bytes | Razones: CPU IOR 
[Alerta] PID 3001 | CPU: 13.84 seg | Mem: 19344 KB | IO R/W: 148316160/0 bytes | Razones: CPU IOR 
[Alerta] PID 3119 | CPU: 46.71 seg | Mem: 14732 KB | IO R/W: 515245056/2867200 bytes | Razones: CPU IOR 
[Alerta] PID 3136 | CPU: 334.67 seg | Mem: 177456 KB | IO R/W: 1892614144/672342016 bytes | Razones: CPU MEM IOR IOW 
[Alerta] PID 3436 | CPU: 8.22 seg | Mem: 11252 KB | IO R/W: 109437952/0 bytes | Razones: CPU IOR 
[Alerta] PID 3442 | CPU: 0.25 seg | Mem: 8320 KB | IO R/W: 11569152/0 bytes | Razones: IOR 
[Alerta] PID 3546 | CPU: 5.35 seg | Mem: 4992 KB | IO R/W: 28652544/0 bytes | Razones: CPU IOR 
[Alerta] PID 3621 | CPU: 1.38 seg | Mem: 1540 KB | IO R/W: 30097408/6340608 bytes | Razones: CPU IOR 
[Alerta] PID 3735 | CPU: 7.37 seg | Mem: 10300 KB | IO R/W: 39214080/0 bytes | Razones: CPU IOR 
[Alerta] PID 3914 | CPU: 0.39 seg | Mem: 7808 KB | IO R/W: 16425984/0 bytes | Razones: IOR 
[Alerta] PID 4303 | CPU: 665.25 seg | Mem: 115272 KB | IO R/W: 757289984/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 4338 | CPU: 641.62 seg | Mem: 81244 KB | IO R/W: 517775360/0 bytes | Razones: CPU MEM IOR 
[Alerta] PID 4900 | CPU: 2.06 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 4992 | CPU: 373.97 seg | Mem: 52528 KB | IO R/W: 370194432/0 bytes | Razones: CPU MEM IOR 
